date,Appliances,Forecast
3/31/16 11:40 PM,-0.465203698,-0.254503658
3/31/16 11:50 PM,-0.465203698,-0.370831466
4/1/16 12:00 AM,-0.367666408,-0.344867718
4/1/16 12:10 AM,-0.367666408,-0.275492276
4/1/16 12:20 AM,-0.367666408,-0.290998847
4/1/16 12:30 AM,-0.465203698,-0.280529207
4/1/16 12:40 AM,-0.465203698,-0.360403619
4/1/16 12:50 AM,-0.465203698,-0.344917837
4/1/16 1:00 AM,-0.660278278,-0.355409129
4/1/16 1:10 AM,-0.660278278,-0.515156634
4/1/16 1:20 AM,-0.757815568,-0.484180805
4/1/16 1:30 AM,-0.660278278,-0.585033006
4/1/16 1:40 AM,-0.367666408,-0.48968825
4/1/16 1:50 AM,-0.367666408,-0.276070992
4/1/16 2:00 AM,-0.367666408,-0.31209271
4/1/16 2:10 AM,-0.367666408,-0.280659072
4/1/16 2:20 AM,-0.465203698,-0.280667883
4/1/16 2:30 AM,-0.465203698,-0.360545819
4/1/16 2:40 AM,-0.465203698,-0.345060298
4/1/16 2:50 AM,-0.465203698,-0.35555409
4/1/16 3:00 AM,-0.465203698,-0.355566083
4/1/16 3:10 AM,-0.367666408,-0.355578021
4/1/16 3:20 AM,-0.367666408,-0.275718916
4/1/16 3:30 AM,-0.465203698,-0.291224909
4/1/16 3:40 AM,-0.465203698,-0.360621969
4/1/16 3:50 AM,-0.465203698,-0.345136451
4/1/16 4:00 AM,-0.465203698,-0.355631826
4/1/16 4:10 AM,-0.367666408,-0.355643784
4/1/16 4:20 AM,-0.562740988,-0.275783325
4/1/16 4:30 AM,-0.367666408,-0.451033583
4/1/16 4:40 AM,-0.465203698,-0.249826517
4/1/16 4:50 AM,-0.465203698,-0.381666262
4/1/16 5:00 AM,-0.367666408,-0.345215093
4/1/16 5:10 AM,-0.562740988,-0.275839328
4/1/16 5:20 AM,-0.660278278,-0.451087217
4/1/16 5:30 AM,-0.757815568,-0.489500844
4/1/16 5:40 AM,-0.660278278,-0.574872496
4/1/16 5:50 AM,-0.465203698,-0.490009973
4/1/16 6:00 AM,-0.367666408,-0.356257051
4/1/16 6:10 AM,-0.367666408,-0.296898336
4/1/16 6:20 AM,-0.465203698,-0.291431256
4/1/16 6:30 AM,-0.367666408,-0.360828601
4/1/16 6:40 AM,-0.562740988,-0.265469897
4/1/16 6:50 AM,-0.367666408,-0.451210149
4/1/16 7:00 AM,-0.270129117,-0.249998829
4/1/16 7:10 AM,-0.367666408,-0.222094399
4/1/16 7:20 AM,-0.172591827,-0.296496183
4/1/16 7:30 AM,-0.270129117,-0.110776353
4/1/16 7:40 AM,-0.367666408,-0.232126596
4/1/16 7:50 AM,-0.465203698,-0.275538845
4/1/16 8:00 AM,-0.367666408,-0.350415328
4/1/16 8:10 AM,2.655989588,-0.26554584
4/1/16 8:20 AM,-0.465203698,2.184546162
4/1/16 8:30 AM,-0.367666408,-0.837580779
4/1/16 8:40 AM,-0.562740988,0.058854261
4/1/16 8:50 AM,-0.465203698,-0.450676266
4/1/16 9:00 AM,-0.367666408,-0.329924694
4/1/16 9:10 AM,0.120020043,-0.286401584
4/1/16 9:20 AM,0.120020043,0.107244198
4/1/16 9:30 AM,0.022482753,0.041104262
4/1/16 9:40 AM,0.120020043,0.013538883
4/1/16 9:50 AM,0.022482753,0.108559304
4/1/16 10:00 AM,-0.075054537,0.003114157
4/1/16 10:10 AM,2.753526878,-0.050849567
4/1/16 10:20 AM,3.33875062,2.265376083
4/1/16 10:30 AM,0.120020043,2.289669072
4/1/16 10:40 AM,-0.075054537,-0.131997436
4/1/16 10:50 AM,-0.270129117,0.281082201
4/1/16 11:00 AM,-0.465203698,-0.194689618
