date,Appliances,Forecast
3/31/16 11:40 PM,-0.465204,-0.321227
3/31/16 11:50 PM,-0.465204,-0.418521
4/1/16 12:00 AM,-0.367666,-0.396433
4/1/16 12:10 AM,-0.367666,-0.320604
4/1/16 12:20 AM,-0.367666,-0.33234
4/1/16 12:30 AM,-0.465204,-0.326229
4/1/16 12:40 AM,-0.465204,-0.400739
4/1/16 12:50 AM,-0.465204,-0.382387
4/1/16 1:00 AM,-0.660278,-0.38322
4/1/16 1:10 AM,-0.660278,-0.535734
4/1/16 1:20 AM,-0.757816,-0.505256
4/1/16 1:30 AM,-0.660278,-0.590395
4/1/16 1:40 AM,-0.367666,-0.500036
4/1/16 1:50 AM,-0.367666,-0.291058
4/1/16 2:00 AM,-0.367666,-0.33671
4/1/16 2:10 AM,-0.367666,-0.330166
4/1/16 2:20 AM,-0.465204,-0.332408
4/1/16 2:30 AM,-0.465204,-0.408954
4/1/16 2:40 AM,-0.465204,-0.392879
4/1/16 2:50 AM,-0.465204,-0.395008
4/1/16 3:00 AM,-0.465204,-0.393459
4/1/16 3:10 AM,-0.367666,-0.392621
4/1/16 3:20 AM,-0.367666,-0.314314
4/1/16 3:30 AM,-0.465204,-0.328252
4/1/16 3:40 AM,-0.465204,-0.400688
4/1/16 3:50 AM,-0.465204,-0.384305
4/1/16 4:00 AM,-0.465204,-0.385969
4/1/16 4:10 AM,-0.367666,-0.384496
4/1/16 4:20 AM,-0.562741,-0.306692
4/1/16 4:30 AM,-0.367666,-0.475916
4/1/16 4:40 AM,-0.465204,-0.287469
4/1/16 4:50 AM,-0.465204,-0.401988
4/1/16 5:00 AM,-0.367666,-0.379196
4/1/16 5:10 AM,-0.562741,-0.306547
4/1/16 5:20 AM,-0.660278,-0.475564
4/1/16 5:30 AM,-0.757816,-0.519924
4/1/16 5:40 AM,-0.660278,-0.590484
4/1/16 5:50 AM,-0.465204,-0.503111
4/1/16 6:00 AM,-0.367666,-0.370872
4/1/16 6:10 AM,-0.367666,-0.324359
4/1/16 6:20 AM,-0.465204,-0.336549
4/1/16 6:30 AM,-0.367666,-0.412696
4/1/16 6:40 AM,-0.562741,-0.320471
4/1/16 6:50 AM,-0.367666,-0.492591
4/1/16 7:00 AM,-0.270129,-0.302858
4/1/16 7:10 AM,-0.367666,-0.261606
4/1/16 7:20 AM,-0.172592,-0.344219
4/1/16 7:30 AM,-0.270129,-0.169398
4/1/16 7:40 AM,-0.367666,-0.276304
4/1/16 7:50 AM,-0.465204,-0.326514
4/1/16 8:00 AM,-0.367666,-0.388227
4/1/16 8:10 AM,2.65599,-0.294198
4/1/16 8:20 AM,-0.465204,2.08878
4/1/16 8:30 AM,-0.367666,-0.835777
4/1/16 8:40 AM,-0.562741,-0.160827
4/1/16 8:50 AM,-0.465204,-0.430502
4/1/16 9:00 AM,-0.367666,-0.289816
4/1/16 9:10 AM,0.12002,-0.23522
4/1/16 9:20 AM,0.12002,0.140919
4/1/16 9:30 AM,0.022483,0.06752
4/1/16 9:40 AM,0.12002,0.006043
4/1/16 9:50 AM,0.022483,0.096816
4/1/16 10:00 AM,-0.075055,0.003713
